Server IP,Port (5985),   '10.64.64.91,Closed,,,,,
10.64.64.91,Open,    10.64.64.92,Closed,,,,,
10.64.64.92,Open,    10.64.64.89,Closed,,,,,
10.64.64.89,Open,    10.64.64.93,Closed,,,,,
10.64.64.93,Open,    10.64.64.87,Closed,,,,,
10.64.64.87,Open,    10.64.64.113,Closed,,,,,
10.64.64.113,Open,    10.64.64.88,Closed,,,,,
10.64.64.88,Closed,    10.64.64.73,Closed,,,,,
10.64.64.73,Open,    10.64.64.72,Closed,,,,,
10.64.64.72,Open,    10.64.64.98,Closed,,,,,
10.64.64.98,Open,    10.64.64.99,Closed,,,,,
10.64.64.99,Open,    10.64.64.100,Closed,,,,,
10.64.64.100,Open,    10.64.64.74,Closed,,,,,
10.64.64.74,Open,    10.64.64.102,Closed,,,,,
10.64.64.102,Open,    10.64.64.119,Closed,,,,,
10.64.64.119,Open,    10.64.64.114,Closed,,,,,
10.64.64.114,Open,    10.64.64.121,Closed,,,,,
10.64.64.121,Open,    10.64.64.69,Closed,,,,,
10.64.64.69,Open,    10.64.64.67,Closed,,,,,
10.64.64.67,Open,    10.64.64.122,Closed,,,,,
10.64.64.122,Open,    10.64.64.94,Closed,,,,,
10.64.64.94,Open,    10.64.64.123,Closed,,,,,
10.64.64.123,Open,    10.64.64.95,Closed,,,,,
10.64.64.95,Open,    10.64.64.124,Closed,,,,,
10.64.64.124,Open,    10.64.64.96,Closed,,,,,
10.64.64.96,Open,    10.64.224.3,Closed,,,,,
10.64.224.3,Open,    10.64.224.2,Closed,,,,,
10.64.224.2,Open,    10.64.64.126,Closed,,,,,
10.64.64.126,Open,    10.64.64.101,Closed,,,,,
10.64.64.101,Open,    10.64.64.105,Closed,,,,,
10.64.64.105,Closed,    10.64.64.104,Closed,,,,,
10.64.64.104,Open,    10.64.64.75,Closed,,,,,
10.64.64.75,Open,    10.64.64.103,Closed,,,,,
10.64.64.103,Open,    10.64.64.76,Closed,,,,,
10.64.64.76,Open,    10.64.64.71,Closed,,,,,
10.64.64.71,Open,    10.64.64.97,Closed,,,,,
10.64.64.97,Open,    10.64.64.115,Closed,,,,,
10.64.64.115,Open,    10.64.64.68,Closed,,,,,
10.64.64.68,Open,    10.64.64.116,Closed,,,,,
10.64.64.116,Open,    10.107.224.120,Closed,,,,,
10.107.224.120,Open,    10.107.224.87,Closed,,,,,
10.107.224.87,Open,    10.105.64.132,Closed,,,,,
10.105.64.132,Open,    10.105.64.134,Closed,,,,,
10.105.64.134,Open,    10.105.64.160,Closed,,,,,
10.105.64.160,Open,    10.107.224.109,Closed,,,,,
10.107.224.109,Open,    10.105.64.161,Closed,,,,,
10.105.64.161,Open,    10.105.64.164,Closed,,,,,
10.105.64.164,Open,    10.105.64.165,Closed,,,,,
